Position,Name...ID,Name,ID,Salary,GameInfo,Team,FirstName,LastName,Opponent,Projection,Projection_dfn,RankTargets,RollingTargetPctg
RB,Wendell Smallwood (7852192),Wendell Smallwood,7852192,3800,WAS@PHI,Phi,Wendell,Smallwood,Was,0,5.2,7,0.027027027
WR,Adam Humphries (7852391),Adam Humphries,7852391,3700,NO@TB,TB,Adam,Humphries,Ten,8.9,0,2,0.15625
RB,Chris Ivory (7852168),Chris Ivory,7852168,3700,MIN@JAX,Jax,Chris,Ivory,NO,8.06,0,7,0.042424242
RB,Chris Thompson (7852232),Chris Thompson,7852232,3700,WAS@PHI,Was,Chris,Thompson,Min,7.99,8.3,5,0.092213115
TE,Coby Fleener (7852416),Coby Fleener,7852416,3700,NO@TB,NO,Coby,Fleener,Phi,8.13,9,4,0.131474104
RB,Kenneth Farrow (7852244),Kenneth Farrow,7852244,3700,SD@CAR,SD,Kenneth,Farrow,TB,12.59,2.1,10,0.007075472
WR,Kenny Stills (7852329),Kenny Stills,7852329,3700,ARI@MIA,Mia,Kenny,Stills,Car,10.16,6.8,3,0.151761518
WR,Marqise Lee (7852298),Marqise Lee,7852298,3700,MIN@JAX,Jax,Marqise,Lee,Ari,11.09,11.4,2,0.163636364
WR,Paul Turner (7852318),Paul Turner,7852318,3700,WAS@PHI,Phi,Paul,Turner,Min,4.56,5.2,10,0.018018018
WR,Tyler Lockett (7852401),Tyler Lockett,7852401,3700,SEA@GB,Sea,Tyler,Lockett,Was,9.95,9.4,4,0.139534884
WR,Dorial Green-Beckham (7852320),Dorial Green-Beckham,7852320,3600,WAS@PHI,Phi,Dorial,Green-Beckham,GB,8.77,0,3,0.148648649
WR,J.J. Nelson (7852377),J.J. Nelson,7852377,3600,ARI@MIA,Ari,J.J.,Nelson,Was,10.58,9.5,5,0.085271318
RB,Kenjon Barner (7852189),Kenjon Barner,7852189,3600,WAS@PHI,Phi,Kenjon,Barner,Mia,6.2,1.1,12,0.015765766
RB,Andre Ellington (7852229),Andre Ellington,7852229,3500,ARI@MIA,Ari,Andre,Ellington,Was,2.56,2.9,8,0.031007752
RB,Dwayne Washington (7852157),Dwayne Washington,7852157,3500,CHI@DET,Det,Dwayne,Washington,Chi,11.05,11.1,8,0.015837104
RB,Rex Burkhead (7852190),Rex Burkhead,7852190,3500,CIN@CLE,Cin,Rex,Burkhead,Mia,7.55,7.7,10,0.022371365
WR,Russell Shepard (7852385),Russell Shepard,7852385,3500,NO@TB,TB,Russell,Shepard,Chi,5.77,6.8,6,0.053571429
WR,Torrey Smith (7852338),Torrey Smith,7852338,3500,NYJ@SF,SF,Torrey,Smith,Cle,0,8,3,0.136
TE,Vernon Davis (7852475),Vernon Davis,7852475,3500,WAS@PHI,Was,Vernon,Davis,NO,4.93,2.9,5,0.092213115
WR,Allen Hurns (7852296),Allen Hurns,7852296,3400,MIN@JAX,Jax,Allen,Hurns,NYJ,0,0,3,0.157575758
WR,Jeremy Kerley (7852339),Jeremy Kerley,7852339,3400,NYJ@SF,SF,Jeremy,Kerley,Phi,9.89,10.3,1,0.218666667
WR,Marquise Goodwin (7852351),Marquise Goodwin,7852351,3400,PIT@BUF,Buf,Marquise,Goodwin,Cle,6.58,5.8,3,0.148459384
RB,Matt Jones (7852236),Matt Jones,7852236,3400,WAS@PHI,Was,Matt,Jones,Min,0,0,8,0.022540984
RB,Christine Michael (7852179),Christine Michael,7852179,3300,SEA@GB,GB,Christine,Michael,NYJ,7.15,2.4,0,0
WR,Devin Funchess (7852403),Devin Funchess,7852403,3300,SD@CAR,Car,Devin,Funchess,PIT,6.55,6.5,4,0.115740741
WR,Victor Cruz (7852360),Victor Cruz,7852360,3300,DAL@NYG,NYG,Victor,Cruz,Phi,6.64,8.6,3,0.109207709
RB,Denard Robinson (7852169),Denard Robinson,7852169,3200,MIN@JAX,Jax,Denard,Robinson,Sea,0,0,13,0.008080808
WR,Nelson Agholor (7852322),Nelson Agholor,7852322,3200,WAS@PHI,Phi,Nelson,Agholor,SD,5.23,6.7,5,0.130630631
WR,Percy Harvin (7852350),Percy Harvin,7852350,3200,PIT@BUF,Buf,Percy,Harvin,Dal,0,0,14,0.011204482
WR,Quinton Patton (7852345),Quinton Patton,7852345,3200,NYJ@SF,SF,Quinton,Patton,Min,8.21,10,2,0.149333333
WR,Brian Quick (7852282),Brian Quick,7852282,3100,ATL@LA,LA,Brian,Quick,Was,8.12,7.9,4,0.144607843
WR,Eddie Royal (7852336),Eddie Royal,7852336,3100,CHI@DET,Chi,Eddie,Royal,PIT,0,0,4,0.103686636
WR,Aaron Burbridge (7852347),Aaron Burbridge,7852347,3000,NYJ@SF,SF,Aaron,Burbridge,NYJ,0,1.6,11,0.021333333
RB,Aaron Ripkowski (7852183),Aaron Ripkowski,7852183,3000,SEA@GB,GB,Aaron,Ripkowski,Mia,0,1.4,0,0
RB,Akeem Hunt (7852185),Akeem Hunt,7852185,3000,HOU@IND,Hou,Akeem,Hunt,Atl,0,0,12,0.004555809
