Sum of  FantasyPoints,Column Labels,,,,,,
Row Labels,DEF,K,QB,RB,TE,WR,Grand Total
DET,11,10,20.5,46.3,7.3,15.6,110.7
GB,2,4,24.6,12.3,11.6,36.4,90.9
HOU,10,6,23.8,15.2,27.4,21.2,103.6
IND,5,3,24.9,9.1,8.7,20.9,71.6
JAC,1,,3.8,9.7,3.6,5.4,23.5
KC,18,4,17.2,27.8,0.8,16.4,84.2
MIA,12,11,13.2,8.9,5.4,26.6,77.1
MIN,5,6,6.6,29.9,2.7,18.3,68.5
NE,4,11,15.1,20,0.5,34.5,85.1
NO,7,11,20.5,18,13.6,23.7,93.8
NYG,4,7,28.8,5.3,12.6,51.3,109
NYJ,7,10,14.9,10,13.9,11.3,67.1
OAK,4,4,,13.7,6.7,30.4,58.8
PHI,9,7,25.5,27.4,12.7,17.1,98.7
PIT,1,1,9.6,2.6,1.1,22.6,37.9
SD,4,4,23.6,18.4,4.9,26.4,81.3
SEA,5,6,15.5,8.2,4.2,28.9,67.8
SF,6,9,30.7,17.3,24.3,30.4,117.7
STL,8,13,18.1,10,26.6,9.9,85.6
TB,11,5,10.4,10.8,0.1,26.6,63.9
TEN,11,10,5.3,16.9,4,8.5,55.7
WAS,15,2,19.6,11,6,36.9,90.5
2,222,219,514.5,527.6,258.4,717.9,2459.4
ARI,,13,11.7,28.4,3.1,9.1,65.3
ARZ,3,,,,,,3
ATL,8,7,23,24.7,3.7,30.6,97
BAL,5,0,13,15.2,2.6,22.6,58.4
BUF,8,9,13.1,29.2,1,25,85.3
CAR,5,11,16.7,12.8,14.4,18.7,78.6
CHI,13,7,18.5,14.1,19.6,23.3,95.5
CIN,6,8,16.2,26.5,13.2,12,81.9
CLE,4,6,10,10.3,9.5,9.3,49.1
DAL,4,10,14.2,7,4.1,26.1,65.4
DEN,15,11,20,25.3,11.2,27.4,109.9
DET,9,1,17.2,14.1,3.2,27.3,71.8
GB,3,8,34.9,23.8,13.2,53.2,136.1
HOU,4,-1,19.9,24.6,17.4,29,93.9
IND,7,7,18.6,18.6,14.2,18,83.4
JAC,5,3,14.5,4.2,10.3,17.6,54.6
KC,7,4,22.6,17.7,5.7,16.6,73.6
MIA,5,6,14.9,17.5,17,25.4,85.8
MIN,21,12,12.9,9.5,8.9,16.8,81.1
NE,12,6,11.2,5.2,0,24.5,58.9
NO,5,9,12.9,13,23.9,8.8,72.6
NYG,2,11,10.5,17.3,8.6,21.5,70.9
NYJ,1,4,4.3,19.1,1.6,15.9,45.9
OAK,5,12,,24.6,3.2,11.4,56.2
PHI,5,11,33.4,18.1,5.8,35.5,108.8
PIT,0,4,12.6,5,2.9,18.9,43.4
SD,3,15,29.9,13.8,10.4,43.2,115.3
SEA,13,9,11,35.6,2.2,8.3,79.1
SF,8,3,5.8,4.9,3.9,5.2,30.8
STL,2,6,26.6,9.9,3.8,43.3,91.6
TB,14,1,6.6,14.4,3.4,15.1,54.5
TEN,14,5,14.9,11,7,19.2,71.1
WAS,6,1,22.9,12.2,9.4,39.1,90.6
3,256,230,495.1,564.8,229.6,701,2476.5
ARI,,1,3.5,19.2,1.3,11.9,36.9
ARZ,6,,,,,,6
ATL,9,10,15.2,26.4,8.6,12.7,81.9
BAL,17,12,6.8,15.3,4.6,10.7,66.4
BUF,4,12,17.7,11.8,13.9,12.6,72
CAR,13,8,29.3,19.5,3.5,36.3,109.6
CHI,25,10,11.5,24,1,18.5,90
CIN,12,3,13.7,22.8,1.4,27.2,80.1
CLE,12,6,18.6,8.3,24.6,29.4,98.9
DAL,8,6,20.4,28.1,15.1,19.1,96.7
DEN,3,13,24.8,22.4,10.5,43.1,116.8
DET,6,9,21.6,19.8,7,35.8,99.2
GB,18,12,12.2,22.1,3.2,24.1,91.6
HOU,2,9,5.8,9.9,2.9,16,45.6
IND,7,8,15,29.1,1.3,13.5,73.9
JAC,6,5,5.9,16.5,0,21,54.4
KC,21,13,14.2,26.5,3.1,15.1,92.9
MIA,4,9,14.1,16.1,10.9,22.9,77
MIN,11,9,21.7,16.9,3.1,15.6,77.3
NE,5,11,15.5,20.8,3.1,25.7,81.1
NO,8,7,31.8,16.6,26.8,17.1,107.3
NYG,5,-1,2.8,6.8,3.5,5.8,22.9
NYJ,8,9,24.6,18.6,2.6,40.7,103.5
OAK,5,3,0.8,18.9,2.1,33.5,63.3
PHI,5,3,15.5,22.5,2.3,21.8,70.1
PIT,2,11,16.9,8,9.2,40.7,87.8
SD,2,4,11.4,19.1,16.3,4.1,56.9
SEA,10,9,36.9,11.1,23.2,42.8,133
SF,1,1,4,19,0.6,7.9,33.5
STL,3,1,13.6,8.5,8,15,49.1
TB,5,2,7.8,13.1,0.9,9.9,38.7
TEN,4,7,28.8,10.3,4.9,30.5,85.5
WAS,9,8,12.7,16.8,10.1,20,76.6
4,247,219,467.5,540.4,294.9,641.2,2410
ARI,,7,10.5,6.5,3.3,22.1,49.4
ARZ,8,,,,,,8
ATL,0,11,22.8,12.2,27.3,20.4,93.7
BAL,8,8,11.9,2.8,4.6,41.7,77
BUF,14,11,4.8,23.5,5.6,19.8,78.7
CHI,7,10,13.6,17.7,9,35.2,92.5
CIN,3,6,5.5,8.8,9.2,7.6,40.1
CLE,6,3,19.5,18.3,15.3,13.5,75.6
DAL,9,2,19.3,9.7,4.3,28.1,72.4
DEN,9,10,29.8,23.2,4.8,49.5,126.3
DET,17,16,16.5,25.5,7.6,16.2,98.8
HOU,9,8,18.7,25.7,20.1,14.3,95.8
IND,16,13,20.5,20.3,15.8,24.4,110
JAC,4,3,2.2,4.5,3.9,12.5,30.1
KC,15,7,23,24.3,15.1,14.1,98.5
MIA,4,5,10.8,13.4,10.2,15,58.4
MIN,9,9,18.4,26.7,1,35.1,99.2
NE,4,12,20.4,21.5,6.1,33.9,97.9
NO,12,7,32.7,32.3,28.4,15.2,127.6
NYG,7,0,7.9,9.9,0,26.4,51.2
NYJ,2,7,8.3,14.4,16.7,12.2,60.6
OAK,3,1,9.5,16.2,11.2,9.3,50.2
PHI,1,7,20,26.6,10.7,16.9,82.2
PIT,1,9,15.3,21.8,7.8,34.4,89.3
SD,5,12,26,32.7,20.3,16.3,112.3
SEA,16,11,10.6,18.7,0.7,6.7,63.7
SF,9,3,13.8,39.9,8.7,16.9,91.3
STL,6,3,7.7,4.7,11.1,12.6,45.1
TB,7,4,5.6,9.4,4.1,12.5,42.6
TEN,19,8,27.8,7.3,7.4,41,110.5
WAS,17,6,14.1,21.9,4.6,17.4,81
5,214,251,441.8,460.6,240.5,633.5,2241.4
ARI,,8,4.7,21.1,7.3,10.4,51.5
ARZ,15,,,,,,15
ATL,4,4,18.8,26.9,17.2,16.2,87.1
BAL,6,14,10.1,24.8,5.1,19,79
BUF,5,6,7.8,36.1,4.9,10.4,70.2
CAR,10,6,6.8,11.4,7.9,18.5,60.6
CHI,2,4,23,10.7,5.6,38.2,83.5
CIN,8,7,9,17.6,7.7,13.6,62.9
CLE,18,13,14,14.2,3.8,24.2,87.2
DAL,4,10,38.9,10.8,20.9,57.4,142
DEN,8,15,35.8,27,24.2,29.3,139.3
DET,1,3,14.4,12,11.4,13.3,55.1
GB,5,16,15.8,9.8,3.2,37.6,87.4
HOU,1,2,1.5,14.3,7.5,8.1,34.4
IND,8,8,16.1,15.6,1.5,33.2,82.4
JAC,2,8,15.6,10.4,1.9,33,70.9
KC,15,14,8.8,20,5.4,14.1,77.3
MIA,12,10,16.9,2.7,11.2,23.9,76.7
NE,8,6,5.9,9.5,0.2,16.2,45.8
NO,5,14,19.5,28.9,13.5,5,85.9
NYG,1,3,15.4,9.3,3.5,41.9,74.1
NYJ,4,12,22.1,11.5,20,16.1,85.7
OAK,18,9,,9.8,0.5,32.6,69.9
PHI,9,18,28.1,17.2,14.5,22.5,109.3
SD,4,4,18.4,15.1,7.4,29.8,78.7
SEA,6,13,22.6,12.1,2.8,29.7,86.2
SF,15,10,9.6,27.7,14.8,3.4,80.5
STL,14,10,21.3,13.9,12.3,26.2,97.7
TEN,6,4,20.9,20.2,4.3,9.7,65.1
6,213,219,446.3,562.1,212.8,606.5,2259.7
ARI,,2,15.9,18.3,3.6,27,66.8
ARZ,8,,,,,,8
BAL,7,5,20.3,8,14.1,28.2,82.6
BUF,5,6,22.3,14.7,10.7,19.3,78
CAR,7,5,30.6,28.9,1.9,27.6,101
CHI,13,9,20.5,15.5,6.8,24.9,89.7
CIN,7,8,25.2,24.6,1.8,40.1,106.7
CLE,3,5,16.7,18.4,7,26.4,76.5
DAL,13,7,8.8,20.4,2.7,16.7,68.6
DEN,6,5,13.1,33.5,8.6,25.8,92
DET,6,7,24.5,23.7,25,10.8,97
GB,7,12,16.7,12,7.5,27.9,83.1
HOU,0,7,7.3,29,2.5,12.4,58.2
IND,2,9,8,9.9,1.6,14.2,44.7
JAC,12,7,7.8,15.4,2.9,24.8,69.9
KC,22,6,8,26.1,0.9,4,67
MIN,1,4,10.3,9.9,16.9,10.1,52.2
NE,5,12,14.4,26.7,5.7,25,88.8
NO,7,9,16.5,31.3,6.1,14.2,84.1
NYG,0,3,7.6,25.5,1.4,27.3,64.8
NYJ,4,6,4.8,10.5,5.9,11.2,42.4
OAK,5,0,,11.3,2.3,26.5,45.1
PHI,4,7,30,17.1,2.3,39.8,100.2
PIT,7,13,15.7,10.1,8.4,21.6,75.8
SD,3,13,13.4,19,5.3,20.2,73.9
SEA,7,8,16.4,31.1,1.7,11.3,75.5
SF,9,12,15.9,19.6,30.7,6,93.2
STL,25,8,17.1,12.4,10.7,9.9,83.1
TB,3,8,18.9,10.1,9.1,26.2,75.3
TEN,12,7,6.1,5.4,2.9,12.1,45.5
WAS,3,9,13.5,23.7,5.8,15,70
7,212,238,491.5,482,229.3,625.2,2278
ARI,,10,10.8,12.5,6.1,12.1,51.5
ARZ,7,,,,,,7
ATL,11,7,21.7,19.6,3,25.7,88
BAL,5,10,14,10.7,8.6,15,63.3
BUF,14,11,7.4,18.2,3.6,12.1,66.3
CAR,18,12,14.8,15.5,4.7,19.8,84.8
CHI,9,10,14.6,28.9,6.7,22.3,91.5
CIN,0,8,27.5,8.3,16.9,35.1,95.8
CLE,1,7,10,5.4,11.5,8.1,43
DAL,9,5,12.9,16.1,4.8,30,77.8
DEN,6,9,25.3,11.5,10.8,42.8,105.4
DET,1,5,26.3,15,8.2,33.2,88.7
GB,5,6,23.6,18.6,13.2,26.5,92.9
HOU,6,10,13.8,6.8,3.8,28.8,69.2
IND,10,13,30,16.4,10.5,21.1,101
JAC,1,6,11.2,10.2,3.1,25.8,57.3
KC,7,5,16.4,25.5,2.8,9.9,66.6
MIA,6,2,14.3,10.5,6.7,31.7,71.2
MIN,10,0,5.6,7.4,3.6,11,37.6
NE,12,9,7.1,22,11.4,10.4,71.9
NYG,7,11,12.5,18.2,1.9,15.8,66.4
NYJ,12,12,20.5,12.9,4.1,26.8,88.3
PHI,6,2,4.9,8.5,4.2,14.1,39.7
PIT,1,13,12.9,12.2,7.4,10.1,56.6
SD,8,6,15.5,32.4,7.6,22.2,91.7
SEA,11,10,20.3,16.9,18.4,22,98.6
SF,13,7,20.8,24.8,8.2,7.4,81.2
STL,2,7,11.1,16.5,4,15.7,56.3
TB,2,11,17.5,12.2,2.9,29.6,75.2
TEN,2,5,21.9,16.2,11.2,19.3,75.6
WAS,10,9,26.3,32.1,19.4,20.8,117.6
8,209,173,399.9,458.5,144.4,569.5,1954.3
ARI,,9,13.8,26,1.4,20.6,70.8
ARZ,12,,,,,,12
ATL,5,7,9.3,3.2,3.2,29.8,57.5
BUF,4,4,7.9,15.1,7.2,21.4,59.6
CAR,5,7,27.8,23.8,9.3,14.9,87.8
CIN,20,7,32.7,7.1,9.7,51.9,128.4
CLE,6,5,21.4,5.5,8.4,20.7,67
DAL,9,12,20.8,8.5,2.7,33,86
DEN,19,9,21.9,31.2,11.3,33.9,126.3
DET,0,7,26.7,29,3.1,43.1,108.9
GB,9,14,22.5,29.6,1.3,36.7,113.1
JAC,2,4,13.2,14.3,-0.7,21.8,54.6
KC,3,10,21,36,3.9,4.2,78.1
MIA,5,3,10.9,22.4,5.3,18,64.6
MIN,8,7,15.6,23.1,5.4,5.3,64.4
NE,12,9,7.1,27.4,2.7,14.2,72.4
NO,10,3,33.2,11.1,20.2,38,115.5
NYG,10,15,9.7,12.7,4.2,16.6,68.2
NYJ,3,9,7.4,7.7,1.9,13,42
OAK,9,3,,21.6,0.9,22,56.5
PHI,9,1,1.6,6.7,3.3,13.6,35.2
PIT,8,2,11.1,13.9,1.9,27.1,64
SEA,7,2,15.2,4.8,1.4,22.5,52.9
SF,8,6,28.5,31.9,11.2,7.3,92.9
STL,7,8,3.4,17.6,5.4,11.7,53.1
TB,3,7,15.2,10.5,10.8,14.6,61.1
WAS,16,3,2,17.8,9,13.6,61.4
9,179,184,452.4,545.4,222.8,644.3,2227.9
ATL,5,4,7,10,14.1,9.4,49.5
BAL,5,4,18.5,5.1,1.7,31.2,65.5
BUF,2,7,10.9,27.5,2.6,19.2,69.2
CAR,15,10,18.2,21.6,12.6,13.6,91
CHI,7,9,20.9,27.9,3.6,28.8,97.2
CIN,7,8,6.7,29.6,4.7,26.6,82.6
CLE,9,6,24.4,7.4,6.8,33,86.6
DAL,12,9,20.3,6.4,18.3,23.8,89.8
GB,1,8,4.6,31,3.4,10.7,58.7
HOU,4,3,28.6,11.5,4.6,48.6,100.3
IND,1,6,22.8,10.3,6.4,35.3,81.8
KC,18,11,5.7,10.3,2,8.9,55.9
MIA,19,7,14.4,15.1,4.8,14.5,74.8
MIN,5,5,18.3,25.4,11.8,12.4,77.9
NE,11,13,33.2,36.7,22,44.3,160.2
NO,2,7,19.2,11.8,23.6,19.8,83.4
NYJ,6,14,12.4,23.9,4.6,9.5,70.4
OAK,2,8,3.5,27.3,3.6,33.4,77.8
PHI,7,7,45.9,20,18.9,56.6,155.4
PIT,5,7,25.9,20.1,4.3,50.5,112.8
SD,8,6,19,13.2,6.3,32.1,84.6
SEA,3,9,22.3,17.8,4.9,25.2,82.2
STL,8,2,12,28.9,10.9,11.6,73.4
TB,6,6,16,24.8,18,10,80.8
TEN,6,4,10.4,41.6,1.3,10.2,73.5
WAS,5,4,11.3,40.2,7,25.1,92.6
10,197,190,404.7,481.7,186.5,593.7,2053.6
ARI,,9,13.4,11,14.1,18.6,66.1
ARZ,11,,,,,,11
ATL,1,4,12.4,11.1,2.9,12.1,43.5
BAL,11,8,9.8,10.1,8.9,13.3,61.1
BUF,6,4,9.9,9.6,10.6,7.5,47.6
CAR,10,3,6.5,17,1.4,13.9,51.8
CHI,2,7,18.5,5.3,2.9,38.8,74.5
CIN,11,4,15.2,19.1,5.8,24.3,79.4
DAL,3,5,9.1,15.5,3.8,14.4,50.8
DEN,4,4,27.1,13.4,16,36.1,100.6
DET,4,2,18.7,15.4,9.5,26.8,76.4
GB,5,5,14.1,11,11.4,22.1,68.6
HOU,7,5,19.3,10.4,8,26,75.7
IND,4,,12.4,24.1,3.3,20.9,64.7
JAC,15,9,3.1,21,5.2,9.3,62.6
MIA,6,7,15.4,0.9,2.8,31.2,63.3
MIN,4,10,16.1,20.1,15.8,17.9,83.9
NO,3,6,31.5,63.9,6.4,33.3,144.1
NYG,8,6,7.3,18,,17.6,56.9
OAK,15,8,,13.7,2.2,11,49.9
PHI,5,8,22.9,17.2,1.5,38.7,93.3
PIT,5,11,10.2,21.3,1.4,23.3,72.2
SD,4,7,13.4,26.1,8.7,11.2,70.4
SEA,4,15,21.5,26.2,1.9,37.7,106.3
SF,8,9,3.2,10,0.2,5.8,36.2
STL,25,8,16.1,21.8,1.7,31.6,104.2
TB,4,8,7.3,23,1.9,9.2,53.4
TEN,9,9,22.7,8.5,19.7,15.8,84.7
WAS,3,9,27.6,17,18.5,25.3,100.4
11,201,242,478.8,565.4,264.6,611.5,2363.3
ARI,,9,24.5,10,11.7,38.8,94
ARZ,6,,,,,,6
ATL,2,8,15.6,25.5,5.7,28.8,85.6
BAL,2,8,8.5,22.7,4.7,16.2,62.1
BUF,18,13,18.7,12.5,4.1,28.9,95.2
CAR,6,6,26.6,5.2,11.2,26.6,81.6
CHI,13,11,12.5,19,4.8,14.3,74.6
CIN,18,11,11.7,14.8,16.4,9.2,81.1
CLE,10,8,7.9,15.7,4.1,19.2,64.9
DEN,5,8,14.9,24,10.3,26.4,88.6
DET,1,9,22.9,19.1,5.1,34.1,91.2
GB,6,7,8.7,13,4.4,26.3,65.4
HOU,8,11,15,11.9,17.6,16,79.5
IND,4,12,18.4,28,11.8,6,80.2
JAC,3,1,10.2,9.9,5.5,10.6,40.2
KC,2,5,22.4,14.8,13.7,13.7,71.6
MIA,5,8,14.8,15.6,15,15.6,74
MIN,1,8,8.3,15.2,6.9,22.7,62.1
NE,3,8,14.1,20.9,12.1,17,75.1
NO,5,11,14.1,21.4,4.1,18,73.6
NYG,12,9,13.5,16.4,3.2,27.8,81.9
NYJ,1,1,2.5,19.1,10.2,12.4,46.2
OAK,6,3,19.6,23.1,11.4,26,89.1
PHI,8,6,22.6,30,7.3,12.4,86.3
PIT,8,13,31.9,16.1,6.7,40.7,116.4
SD,6,10,14.5,18,20.6,12,81.1
SEA,16,11,18.7,28.7,7.6,19.3,101.3
SF,7,8,13.6,7.6,10.3,12.4,58.9
TB,15,10,17.6,38.7,1.8,24.5,107.6
TEN,1,9,15.5,21.4,15.1,11.3,73.3
WAS,3,,19,27.1,1.2,24.3,74.6
12,183,212,440.8,486.8,249.4,576.3,2148.3
ARI,,15,20.6,22.6,5.1,32.3,95.6
ARZ,9,,,,,,9
ATL,1,6,12.7,20.7,4.9,15.7,61
BAL,9,13,13.6,6.3,7.9,24.5,74.3
CAR,5,7,20.1,10.9,9.4,11.6,64
CHI,2,3,18.5,18.5,12.2,28.1,82.3
CLE,0,2,11.5,5.4,3.2,34.1,56.2
DAL,10,6,16.1,17.2,16.2,14.2,79.7
DEN,15,7,12,34.3,11,11.7,91
DET,4,3,16.5,11.5,16.2,27.8,79
GB,8,8,27.5,27.9,4.6,25.8,101.8
HOU,4,6,5,11.4,6.9,6.1,39.4
IND,3,3,11.6,5.8,11.9,9.5,44.8
JAC,4,6,9.9,24.9,2.6,13.2,60.6
KC,1,8,21.5,34.6,8.1,26.4,99.6
MIA,4,9,18,5.7,3.8,26.7,67.2
MIN,2,14,12.8,29.1,12.2,13.7,83.8
NE,10,10,23.8,20.7,15,30.3,109.8
NO,7,5,18.5,16.8,22.1,10.2,79.6
NYG,6,7,15,21.3,10.4,15.9,75.6
NYJ,6,3,-0.3,10,4.3,8,31
OAK,2,11,13,24,1.5,10.5,62
PIT,19,9,16.4,12.8,4.1,25.6,86.9
SD,7,11,27.8,33.7,16.1,29.7,125.3
SF,6,9,23.4,5.9,13.3,25.9,83.5
STL,13,10,10.4,32.6,14,20.2,100.2
TB,18,4,16.2,4.1,7.5,28.9,78.7
TEN,4,11,23.4,9.6,4.9,37.7,90.6
WAS,4,6,5.3,8.5,0,12,35.8
13,213,218,511.5,614.2,249.4,689.3,2495.4
ARI,,3,18,13.6,10.7,32,77.3
ARZ,5,,,,,,5
ATL,4,10,16.1,33.4,11.4,23.2,98.1
BAL,0,16,14.7,10.9,2.4,24.5,68.5
BUF,8,7,18.7,42.5,4.3,7.4,87.9
CAR,9,9,27.5,13.7,8.5,25.4,93.1
CHI,7,6,22.2,16.6,1.4,43.1,96.3
CIN,8,5,10.5,20.1,0.9,23.5,68
CLE,6,3,21.3,18.1,4.3,47.8,100.5
DAL,10,7,12.9,37.6,5.3,16.1,88.9
DEN,2,5,31.8,27.1,0.5,56.2,122.6
DET,13,7,19.8,41.5,3.2,30.9,115.4
GB,17,4,0,5.1,1.5,9.3,36.9
HOU,3,7,15.5,30.6,3.6,22.5,82.2
IND,9,16,10.2,17.2,5,10,67.4
JAC,9,12,13.8,12.4,16.9,20.2,84.3
KC,10,4,22.3,27.7,9.9,21,94.9
MIA,10,10,21.4,10.6,8.8,35,95.8
MIN,6,10,13.3,22.8,6.1,35.8,94
NE,3,9,20.8,25.9,18.7,17.7,95.1
NO,1,1,7.8,10.1,10.2,4.9,35
NYG,7,6,11.4,22.9,13.2,13.4,73.9
NYJ,3,3,-1.2,13.2,3.2,3.9,25.1
OAK,10,6,8.1,18.1,3,21.5,66.7
PHI,11,6,23.7,11.9,27.7,10.4,90.7
PIT,2,2,19.4,19.6,8.6,22.8,74.4
SD,4,4,12.5,13.1,12.6,10.2,56.4
SEA,9,10,29.1,11.2,14.8,23.9,98
SF,5,11,17.1,12.9,14.2,16.6,76.8
STL,6,7,12.8,10.4,4.9,22.3,63.4
TB,4,5,3.5,8,1.7,12.6,34.8
TEN,7,2,15.4,20.1,0.5,16.7,61.7
WAS,5,5,21.1,15.3,11.4,8.5,66.3
14,198,212,569.6,639.9,295.5,701.9,2616.9
ARI,,2,14.7,24.9,5.4,19,66
ARZ,14,,,,,,14
ATL,15,2,12.2,12.7,8.5,19,69.4
BAL,8,3,18,12.6,17.6,19.8,79
BUF,5,6,2.3,8.6,3.1,8.7,33.7
CAR,2,6,15.2,12.4,4,13.6,53.2
CHI,2,13,37.5,35,5.6,31.5,124.6
CIN,0,6,30.1,31.6,12.1,28.2,108
CLE,8,7,30.3,9,29,26.9,110.2
DAL,1,4,17.7,26.8,10.8,20.7,81
DEN,6,15,31.8,31.6,15,44.6,144
DET,14,0,3.8,15.9,2.3,6.7,42.7
GB,5,10,13.1,16.9,16.1,13.2,74.3
HOU,1,8,20.3,7,14.3,32.7,83.3
IND,0,3,32.2,11.7,5,43,94.9
JAC,7,9,16,21.7,10.2,11.5,75.4
KC,22,8,12.6,41.6,2,14.7,100.9
MIA,5,9,23.6,20.2,22.4,13.5,93.7
MIN,8,8,19.2,14.6,1.9,36.8,88.5
NE,1,7,20.8,33.3,4.7,27.3,94.1
NO,5,7,28.8,10.3,19.8,31.8,102.7
NYG,4,2,10.4,14.7,10,20.4,61.5
NYJ,5,13,21.8,18,6.1,19.1,83
OAK,3,8,17.8,22.7,8.1,25.7,85.3
PHI,6,,17.5,47,2.9,18.3,91.7
PIT,11,4,24.8,11.3,5.6,43.6,100.3
SD,8,13,19.8,36.3,5,22.2,104.3
SEA,4,5,10.2,14.4,14.3,11.6,59.5
SF,4,13,12.1,15.3,8.1,13.3,65.8
STL,5,4,4.2,10.7,6.4,15.1,45.4
TB,17,9,7.6,20.9,8.1,13,75.6
TEN,0,4,9.3,26.1,0.2,21.5,61.1
WAS,2,4,13.9,4.1,10.9,14.9,49.8
15,249,270,544.2,637.3,253.8,683.2,2637.5
ARI,,13,13.1,36.2,8.2,9.7,80.2
ARZ,15,,,,,,15
ATL,15,9,8.3,20.7,12.2,10.9,76.1
BAL,7,18,10.2,8.5,3.4,18,65.1
BUF,13,8,21.4,24.6,8.2,14.6,89.8
CAR,12,12,16.1,31.3,8.8,11.1,91.3
CHI,10,8,19.7,23.5,5.1,36.7,103
CIN,3,2,19.2,11,9.6,22.1,66.9
CLE,20,7,12.6,19.5,4,20.4,83.5
DAL,4,18,18.3,21.3,14.6,31.3,107.5
DEN,2,8,17.6,10.3,5.8,26.6,70.3
DET,1,4,8.3,21.4,9.7,15.4,59.8
GB,7,7,25.7,31.3,12.6,31.3,114.9
HOU,5,3,2.9,12.8,6.2,8.3,38.2
IND,8,11,16.1,21.8,-0.4,20.6,77.1
JAC,8,8,15.7,16.1,16.6,8.5,72.9
KC,20,8,32.3,65.3,7.4,7.3,140.3
MIA,3,6,24.4,13.9,3.7,31.2,82.2
MIN,6,11,29.2,24.6,,44.7,115.5
NE,6,7,20.6,10.8,7.3,39.7,91.4
NO,0,2,20.5,18.9,3.7,28,73.1
NYG,6,,-2.6,5.8,4.9,10.4,24.5
NYJ,2,8,13.1,12.5,12.2,8.3,56.1
OAK,4,7,9.9,32.5,9,24.2,86.6
PHI,5,10,31.2,10.6,14.2,38.4,109.4
PIT,9,12,9.6,21.5,3.5,16.7,72.3
SD,3,9,15.5,24.2,2.3,24.9,78.9
SEA,14,11,15.8,21.5,3.1,18,83.4
SF,14,15,20,17.4,13.9,15,95.3
STL,10,9,14.8,20.3,8.1,10.4,72.6
TB,8,2,13.2,4.2,14.2,13.3,54.9
TEN,2,9,30.3,15.5,11.3,27.1,95.2
WAS,7,8,21.2,7.5,10.4,40.1,94.2
16,244,225,386.4,578.3,187,607.5,2228.2
ARI,,9,2.8,15,3.3,13.4,43.5
ARZ,8,,,,,,8
ATL,3,6,17.9,14.7,12.3,31.7,85.6
BAL,2,0,14.4,13.5,7.8,13.1,50.8
BUF,11,13,7,28.8,5.5,9.2,74.5
CAR,10,5,9.8,13.3,3.5,20.8,62.4
CHI,6,3,12.9,7.4,8.5,17.2,55
CIN,18,6,31.9,16.7,9.5,45.2,127.3
CLE,0,7,5.2,14.8,2.3,14.9,44.2
DAL,2,6,14.9,21.5,1.3,25.4,71.1
DEN,7,13,32,14,16.8,44.6,127.4
DET,6,4,4.8,30.6,5.1,9.8,60.3
GB,5,7,10.1,35.2,1.9,24.4,83.6
HOU,1,7,7.5,8.6,6.6,16.6,47.3
IND,12,10,14.1,29.7,2,17.4,85.2
JAC,5,4,15.6,9.1,11,15.1,59.8
KC,1,0,4.8,20.4,1.9,7.8,35.9
MIA,3,,1.4,1.7,3.2,10,19.3
MIN,4,2,2.2,4.7,2.2,25.3,40.4
NE,24,11,10.9,34.2,0.9,14.3,95.3
NO,6,7,12.1,15.4,15.9,14.5,70.9
NYG,16,11,12,3.5,6.2,24.2,72.9
NYJ,7,5,27.4,18.9,6.5,25.1,89.9
OAK,7,7,6.7,17.5,5.5,9,52.7
PHI,15,10,18.7,53.7,12.5,18,127.9
PIT,13,8,20,19.6,11.8,18.1,90.5
SD,5,14,7.7,24.7,4.7,15.8,71.9
SEA,10,3,9.5,5.6,7.4,8.9,44.4
SF,11,10,23,21.4,0,25.1,90.5
STL,11,11,4.3,14.7,3.1,18.7,62.8
TB,5,7,4.6,9,2.7,10.5,38.8
TEN,4,8,9.3,24.8,3.5,19.9,69.5
WAS,6,11,10.9,15.6,1.6,23.5,68.6
17,186,214,446.9,554,227.5,646.6,2275
ARI,,6,22.2,9.6,15.7,33.8,87.3
ARZ,2,,,,,,2
ATL,5,8,17.1,20.5,5.6,21.3,77.5
BAL,8,9,5.8,10.7,6.3,12.8,52.6
BUF,3,8,14.3,30.6,5.5,17.1,78.5
CAR,17,3,19.2,12.7,10.2,8.2,70.3
CHI,7,4,15,34.8,1.5,20.4,82.7
CIN,14,10,19.5,13.9,1.5,33.5,92.4
CLE,5,1,10.2,17.5,6.9,12.5,53.1
DAL,7,10,19.1,7,21.2,22.7,87
DEN,4,10,29.9,24.8,10.6,36.2,115.5
DET,7,7,12.7,18.1,2,13.9,60.7
GB,5,9,17.2,23.7,3.1,38.5,96.5
HOU,3,4,3.9,19.2,4.9,8.6,43.6
IND,7,12,16.9,23.8,4.5,27.8,92
JAC,1,4,15.2,8.5,8.1,9.3,46.1
KC,5,5,17.9,33.7,1.4,11.3,74.3
MIA,0,1,8.1,7.7,4.3,18.1,39.2
MIN,5,2,10.1,9.3,1.3,30.9,58.6
NE,4,14,6.6,48.8,0,8,81.4
NO,4,6,37.8,19,13.8,43.7,124.3
NYG,11,7,6.3,5.3,0.9,32.5,63
NYJ,6,7,18,10.3,7.1,15.4,63.8
OAK,3,1,,4.9,9.2,23,41.1
PHI,6,6,16,29.9,17.4,11.2,86.5
PIT,7,8,8.1,19.5,1.7,19.8,64.1
SD,2,9,19.4,21.8,17.3,20,89.5
SEA,12,9,10.8,17.4,2.5,19.9,71.6
SF,5,10,22.8,6.1,10.5,30.9,85.3
STL,4,3,6.5,4,14.4,4.4,36.3
TB,1,5,14.8,7.5,12,18.8,59.1
